miRID	GeneName	Type	Source
hsa-miR-122-5p	AACS	pos	VALID
hsa-miR-183-5p	AANAT	pos	VALID
hsa-miR-128-3p	ABCA1	pos	VALID
hsa-miR-19a-3p	ABCA1	pos	VALID
hsa-miR-26a-5p	ABCA1	pos	VALID
hsa-miR-26b-5p	ABCA1	pos	VALID
hsa-miR-27a-3p	ABCA1	pos	VALID
hsa-miR-27b-3p	ABCA1	pos	VALID
hsa-miR-33a-5p	ABCA1	pos	VALID
hsa-miR-33b-5p	ABCA1	pos	VALID
hsa-miR-613	ABCA1	pos	VALID
hsa-miR-129-5p	ABCB1	pos	VALID
hsa-miR-223-3p	ABCB1	pos	VALID
hsa-miR-451a	ABCB1	pos	VALID
hsa-miR-508-5p	ABCB1	pos	VALID
hsa-miR-33a-5p	ABCB11	pos	VALID
hsa-miR-31-5p	ABCB9	pos	VALID
hsa-miR-1	ABCC1	neg	VALID
hsa-miR-1291	ABCC1	pos	VALID
hsa-miR-134-5p	ABCC1	pos	VALID
hsa-miR-345-5p	ABCC1	pos	VALID
hsa-miR-7-5p	ABCC1	pos	VALID
hsa-miR-129-5p	ABCC5	pos	VALID
hsa-miR-124-3p	ABCF2	neg	VALID
hsa-miR-128-3p	ABCG1	pos	VALID
hsa-miR-129-5p	ABCG1	pos	VALID
hsa-miR-142-3p	ABCG2	pos	VALID
hsa-miR-181a-5p	ABCG2	pos	VALID
hsa-miR-328-3p	ABCG2	pos	VALID
hsa-miR-487a-3p	ABCG2	pos	VALID
hsa-miR-519c-3p	ABCG2	pos	VALID
hsa-miR-520h	ABCG2	pos	VALID
hsa-miR-145-5p	ABHD17C	pos	VALID
hsa-miR-29a-3p	ABL1	pos	VALID
hsa-miR-30a-5p	ABL1	pos	VALID
hsa-miR-4723-5p	ABL1	pos	VALID
hsa-miR-20a-5p	ABL2	pos	VALID
hsa-miR-145-5p	ABRACL	pos	VALID
hsa-miR-125b-5p	ABTB1	pos	VALID
hsa-miR-124-3p	ACAA2	pos	VALID
hsa-miR-9-5p	ACAT1	pos	VALID
hsa-miR-212-3p	ACHE	pos	VALID
hsa-miR-205-5p	ACSL1	pos	VALID
hsa-miR-34a-5p	ACSL1	pos	VALID
hsa-miR-205-5p	ACSL4	pos	VALID
hsa-miR-34a-5p	ACSL4	pos	VALID
hsa-miR-145-5p	ACTB	neg	VALID
hsa-miR-644a	ACTB	pos	VALID
hsa-let-7b-5p	ACTG1	neg	VALID
hsa-miR-206	ACTL6A	pos	VALID
hsa-miR-1	ACTN1	neg	VALID
hsa-miR-218-5p	ACTN1	neg	VALID
hsa-miR-1	ACTN4	neg	VALID
hsa-miR-155-5p	ACTR2	neg	VALID
hsa-miR-124-3p	ACTR3	neg	VALID
hsa-let-7b-5p	ACVR1	neg	VALID
hsa-miR-148a-3p	ACVR1	pos	VALID
hsa-miR-148b-3p	ACVR1	pos	VALID
hsa-miR-26a-5p	ACVR1	pos	VALID
hsa-miR-365a-3p	ACVR1	pos	VALID
hsa-miR-135b-5p	ACVR1B	pos	VALID
hsa-miR-199a-5p	ACVR1B	pos	VALID
hsa-miR-24-3p	ACVR1B	pos	VALID
hsa-miR-122-5p	ACVR1C	neg	VALID
hsa-miR-147a	ACVR1C	neg	VALID
hsa-miR-22-3p	ACVR1C	neg	VALID
hsa-miR-376a-3p	ACVR1C	neg	VALID
hsa-miR-376a-5p	ACVR1C	neg	VALID
hsa-miR-376b-3p	ACVR1C	neg	VALID
hsa-miR-376c-3p	ACVR1C	pos	VALID
hsa-miR-412-3p	ACVR1C	neg	VALID
hsa-miR-16-5p	ACVR2A	pos	VALID
hsa-miR-141-3p	ACVR2B	pos	VALID
hsa-miR-192-5p	ACVR2B	pos	VALID
hsa-miR-194-5p	ACVR2B	pos	VALID
hsa-miR-200c-3p	ACVR2B	pos	VALID
hsa-miR-215-5p	ACVR2B	pos	VALID
hsa-miR-140-5p	ADA	pos	VALID
hsa-miR-122-5p	ADAM10	pos	VALID
hsa-miR-29b-3p	ADAM12	pos	VALID
hsa-miR-122-5p	ADAM17	pos	VALID
hsa-miR-145-5p	ADAM17	pos	VALID
hsa-miR-152-3p	ADAM17	pos	VALID
hsa-miR-26a-5p	ADAM17	pos	VALID
hsa-miR-126-3p	ADAM9	pos	VALID
hsa-miR-126-5p	ADAM9	pos	VALID
hsa-miR-29a-3p	ADAMTS9	pos	VALID
hsa-miR-17-5p	ADAR	pos	VALID
hsa-miR-432-5p	ADAR	pos	VALID
hsa-miR-182-5p	ADCY6	pos	VALID
hsa-miR-96-5p	ADCY6	pos	VALID
hsa-miR-181b-5p	ADCY9	pos	VALID
hsa-miR-124-3p	ADD3	neg	VALID
hsa-miR-145-5p	ADD3	pos	VALID
hsa-miR-138-5p	ADGRA2	pos	VALID
hsa-miR-126-3p	ADGRE5	pos	VALID
hsa-miR-124-3p	ADIPOR2	neg	VALID
hsa-miR-375	ADIPOR2	pos	VALID
hsa-miR-126-3p	ADM	pos	VALID
hsa-miR-27b-3p	ADORA2B	pos	VALID
hsa-let-7a-5p	AGO1	pos	VALID
hsa-let-7b-5p	AGO1	pos	VALID
hsa-let-7c-5p	AGO1	pos	VALID
hsa-let-7d-5p	AGO1	pos	VALID
hsa-let-7e-5p	AGO1	pos	VALID
hsa-let-7f-5p	AGO1	pos	VALID
hsa-let-7g-5p	AGO1	pos	VALID
hsa-let-7i-5p	AGO1	pos	VALID
hsa-miR-103a-3p	AGO1	pos	VALID
hsa-miR-107	AGO1	pos	VALID
hsa-miR-503-5p	AGO1	pos	VALID
hsa-miR-184	AGO2	pos	VALID
hsa-miR-376a-3p	AGO2	pos	VALID
hsa-miR-99a-5p	AGO2	pos	VALID
hsa-miR-129-5p	AGO3	pos	VALID
hsa-let-7a-5p	AGO4	pos	VALID
hsa-miR-155-5p	AGO4	pos	VALID
hsa-miR-24-3p	AGPAT2	pos	VALID
hsa-miR-155-5p	AGTR1	pos	VALID
hsa-miR-1	AHNAK2	neg	VALID
hsa-miR-124-3p	AHNAK2	neg	VALID
hsa-miR-124-3p	AHR	pos	VALID
hsa-miR-181a-5p	AHR	pos	VALID
hsa-miR-375	AHR	neg	VALID
hsa-miR-125b-5p	AHRR	pos	VALID
hsa-miR-210-3p	AIFM3	pos	VALID
hsa-miR-183-5p	AKAP12	pos	VALID
hsa-miR-186-5p	AKAP12	pos	VALID
hsa-miR-145-5p	AKR1B10	pos	VALID
hsa-miR-193b-3p	AKR1C2	pos	VALID
hsa-miR-100-5p	AKT1	pos	VALID
hsa-miR-105-5p	AKT1	pos	VALID
hsa-miR-125b-5p	AKT1	pos	VALID
hsa-miR-133b	AKT1	pos	VALID
hsa-miR-143-3p	AKT1	pos	VALID
hsa-miR-149-3p	AKT1	pos	VALID
hsa-miR-199a-3p	AKT1	neg	VALID
hsa-miR-19a-3p	AKT1	pos	VALID
hsa-miR-302a-3p	AKT1	pos	VALID
hsa-miR-302b-3p	AKT1	pos	VALID
hsa-miR-302c-3p	AKT1	pos	VALID
hsa-miR-302d-3p	AKT1	pos	VALID
hsa-miR-451a	AKT1	pos	VALID
hsa-miR-708-5p	AKT1	pos	VALID
hsa-let-7b-5p	AKT2	pos	VALID
hsa-let-7g-5p	AKT2	pos	VALID
hsa-miR-137	AKT2	pos	VALID
hsa-miR-184	AKT2	pos	VALID
hsa-miR-21-5p	AKT2	pos	VALID
hsa-miR-29a-3p	AKT2	pos	VALID
hsa-miR-29b-3p	AKT2	pos	VALID
hsa-miR-29c-3p	AKT2	pos	VALID
hsa-miR-302b-3p	AKT2	pos	VALID
hsa-miR-612	AKT2	pos	VALID
hsa-miR-708-5p	AKT2	pos	VALID
hsa-miR-122-5p	AKT3	pos	VALID
hsa-miR-15a-5p	AKT3	pos	VALID
hsa-miR-16-5p	AKT3	pos	VALID
hsa-miR-519d-3p	AKT3	pos	VALID
hsa-miR-148b-3p	ALCAM	pos	VALID
hsa-miR-192-5p	ALCAM	pos	VALID
hsa-miR-215-5p	ALCAM	pos	VALID
hsa-miR-483-5p	ALCAM	pos	VALID
hsa-miR-124-3p	ALDH18A1	neg	VALID
hsa-miR-140-5p	ALDH1A1	pos	VALID
hsa-miR-145-5p	ALDH3A1	pos	VALID
hsa-miR-124-3p	ALDH3B2	neg	VALID
hsa-miR-147b	ALDH5A1	pos	VALID
hsa-miR-210-3p	ALDH5A1	pos	VALID
hsa-miR-122-5p	ALDOA	pos	VALID
hsa-miR-124-3p	ALDOB	neg	VALID
hsa-miR-96-5p	ALK	pos	VALID
hsa-miR-185-5p	ALOX12	pos	VALID
hsa-miR-214-3p	ALPK2	pos	VALID
hsa-miR-204-5p	ALPL	pos	VALID
hsa-miR-145-5p	ALPPL2	pos	VALID
hsa-miR-26a-5p	AMACR	pos	VALID
hsa-miR-762	AMD1	pos	VALID
hsa-miR-376a-5p	AMFR	pos	VALID
hsa-miR-124-3p	AMOTL1	pos	VALID
hsa-miR-155-5p	ANAPC16	pos	VALID
hsa-miR-124-3p	ANAPC4	neg	VALID
hsa-miR-124-3p	ANAPC5	neg	VALID
hsa-miR-124-3p	ANAPC7	neg	VALID
hsa-miR-409-3p	ANG	pos	VALID
hsa-miR-145-5p	ANGPT2	pos	VALID
hsa-miR-542-3p	ANGPT2	pos	VALID
hsa-miR-921	ANGPTL1	pos	VALID
hsa-miR-29b-3p	ANGPTL4	pos	VALID
hsa-miR-122-5p	ANK2	pos	VALID
hsa-miR-204-5p	ANKRD13A	pos	VALID
hsa-miR-21-5p	ANKRD46	pos	VALID
hsa-miR-424-5p	ANLN	pos	VALID
hsa-miR-503-5p	ANLN	pos	VALID
hsa-miR-21-5p	ANP32A	pos	VALID
hsa-miR-196a-5p	ANXA1	pos	VALID
hsa-miR-221-3p	ANXA1	pos	VALID
hsa-miR-122-5p	ANXA11	pos	VALID
hsa-miR-1	ANXA2	neg	VALID
hsa-miR-133a-3p	ANXA2	pos	VALID
hsa-miR-155-5p	ANXA2	pos	VALID
hsa-miR-145-5p	AP1G1	pos	VALID
hsa-miR-204-5p	AP1S2	pos	VALID
hsa-miR-211-5p	AP1S2	pos	VALID
hsa-miR-224-5p	AP2M1	pos	VALID
hsa-miR-9-5p	AP3B1	pos	VALID
hsa-miR-122-5p	AP3M2	pos	VALID
hsa-miR-155-5p	APAF1	pos	VALID
hsa-miR-21-5p	APAF1	pos	VALID
hsa-miR-221-3p	APAF1	pos	VALID
hsa-miR-23a-3p	APAF1	pos	VALID
hsa-miR-106b-5p	APC	pos	VALID
hsa-miR-129-5p	APC	pos	VALID
hsa-miR-135a-5p	APC	pos	VALID
hsa-miR-135b-5p	APC	pos	VALID
hsa-miR-142-3p	APC	pos	VALID
hsa-miR-155-5p	APC	pos	VALID
hsa-miR-27a-3p	APC	pos	VALID
hsa-miR-663a	APC	pos	VALID
hsa-miR-145-5p	APH1A	pos	VALID
hsa-miR-224-5p	API5	pos	VALID
hsa-miR-485-5p	APOA5	pos	VALID
hsa-miR-1908-5p	APOE	pos	VALID
hsa-miR-199a-3p	APOE	pos	VALID
hsa-miR-199a-5p	APOE	pos	VALID
hsa-let-7a-5p	APP	neg	VALID
hsa-let-7d-5p	APP	neg	VALID
hsa-miR-101-3p	APP	pos	VALID
hsa-miR-106b-5p	APP	pos	VALID
hsa-miR-130a-3p	APP	neg	VALID
hsa-miR-15a-5p	APP	neg	VALID
hsa-miR-17-5p	APP	pos	VALID
hsa-miR-20a-5p	APP	pos	VALID
hsa-miR-520c-3p	APP	pos	VALID
hsa-miR-320a	AQP1	pos	VALID
hsa-miR-185-5p	AQP3	pos	VALID
hsa-miR-874-3p	AQP3	pos	VALID
hsa-miR-320a	AQP4	pos	VALID
hsa-miR-124-3p	AR	pos	VALID
hsa-miR-185-5p	AR	pos	VALID
hsa-miR-205-5p	AR	pos	VALID
hsa-miR-34a-5p	AR	pos	VALID
hsa-miR-488-5p	AR	pos	VALID
hsa-miR-185-5p	ARC	pos	VALID
hsa-miR-1	ARCN1	neg	VALID
hsa-miR-200a-3p	AREG	pos	VALID
hsa-miR-320a	ARF1	pos	VALID
hsa-miR-155-5p	ARFIP1	neg	VALID
hsa-miR-199a-5p	ARHGAP12	pos	VALID
hsa-miR-20a-5p	ARHGAP12	pos	VALID
hsa-miR-24-3p	ARHGAP19	pos	VALID
hsa-miR-573	ARHGAP26	pos	VALID
hsa-miR-132-3p	ARHGAP32	pos	VALID
hsa-miR-486-5p	ARHGAP5	pos	VALID
hsa-miR-494-3p	ARHGAP5	pos	VALID
hsa-miR-151a-5p	ARHGDIA	pos	VALID
hsa-miR-34a-5p	ARHGDIB	pos	VALID
hsa-miR-503-5p	ARHGEF19	pos	VALID
hsa-miR-138-5p	ARHGEF3	neg	VALID
hsa-miR-101-3p	ARID1A	neg	VALID
hsa-miR-31-5p	ARID1A	pos	VALID
hsa-miR-155-5p	ARID2	pos	VALID
hsa-miR-125b-5p	ARID3A	pos	VALID
hsa-miR-125a-5p	ARID3B	pos	VALID
hsa-miR-125b-5p	ARID3B	pos	VALID
hsa-miR-106a-5p	ARID4B	pos	VALID
hsa-miR-19b-3p	ARID4B	neg	VALID
hsa-miR-20b-5p	ARID4B	pos	VALID
hsa-miR-92a-3p	ARID4B	neg	VALID
hsa-miR-221-3p	ARIH2	neg	VALID
hsa-miR-155-5p	ARL15	pos	VALID
hsa-miR-16-5p	ARL2	pos	VALID
hsa-miR-195-5p	ARL2	pos	VALID
hsa-miR-26a-5p	ARL4C	pos	VALID
hsa-miR-26b-5p	ARL4C	pos	VALID
hsa-miR-202-3p	ARL5A	pos	VALID
hsa-miR-145-5p	ARL6IP5	pos	VALID
hsa-miR-155-5p	ARL6IP5	neg	VALID
hsa-miR-155-5p	ARMC2	pos	VALID
hsa-miR-107	ARNT	pos	VALID
hsa-miR-221-3p	ARNT	pos	VALID
hsa-miR-142-3p	ARNTL	pos	VALID
hsa-miR-494-3p	ARNTL	pos	VALID
hsa-miR-155-5p	ARPC3	neg	VALID
hsa-miR-133a-3p	ARPC5	pos	VALID
hsa-miR-22-3p	ARPC5	pos	VALID
hsa-miR-31-5p	ARPC5	neg	VALID
hsa-miR-335-5p	ARPC5L	neg	VALID
hsa-miR-525-3p	ARRB1	pos	VALID
hsa-miR-223-3p	ARTN	pos	VALID
hsa-let-7i-5p	ASCL1	pos	VALID
hsa-miR-214-3p	ASF1B	pos	VALID
hsa-miR-221-3p	ASZ1	pos	VALID
hsa-miR-372-3p	ATAD2	pos	VALID
hsa-miR-23a-3p	ATAT1	pos	VALID
hsa-miR-182-5p	ATF1	pos	VALID
hsa-miR-494-3p	ATF3	pos	VALID
hsa-miR-214-3p	ATF4	pos	VALID
hsa-miR-199a-5p	ATF6	pos	VALID
hsa-miR-424-5p	ATF6	pos	VALID
hsa-miR-503-5p	ATF6	pos	VALID
hsa-miR-23b-3p	ATG12	pos	VALID
hsa-miR-30b-5p	ATG12	pos	VALID
hsa-miR-30d-5p	ATG12	pos	VALID
hsa-miR-195-5p	ATG14	pos	VALID
hsa-miR-106b-5p	ATG16L1	pos	VALID
hsa-miR-93-5p	ATG16L1	pos	VALID
hsa-miR-130a-3p	ATG2B	pos	VALID
hsa-miR-30d-5p	ATG2B	pos	VALID
hsa-miR-376a-3p	ATG4C	pos	VALID
hsa-miR-376b-3p	ATG4C	pos	VALID
hsa-miR-101-3p	ATG4D	pos	VALID
hsa-miR-181a-5p	ATG5	pos	VALID
hsa-miR-30d-5p	ATG5	pos	VALID
hsa-miR-100-5p	ATM	pos	VALID
hsa-miR-101-3p	ATM	pos	VALID
hsa-miR-101-5p	ATM	neg	VALID
hsa-miR-106a-5p	ATM	pos	VALID
hsa-miR-181a-5p	ATM	pos	VALID
hsa-miR-181b-5p	ATM	pos	VALID
hsa-miR-18a-5p	ATM	pos	VALID
hsa-miR-223-3p	ATM	pos	VALID
hsa-miR-26a-5p	ATM	pos	VALID
hsa-miR-374a-5p	ATM	pos	VALID
hsa-miR-421	ATM	pos	VALID
hsa-miR-122-5p	ATP1A2	pos	VALID
hsa-miR-192-5p	ATP1B1	pos	VALID
hsa-miR-25-3p	ATP2A2	pos	VALID
hsa-miR-1289	ATP4A	pos	VALID
hsa-miR-101-3p	ATP5B	pos	VALID
hsa-miR-124-3p	ATP6V0E1	pos	VALID
hsa-miR-1	ATP6V1B2	neg	VALID
hsa-miR-495-3p	ATP7A	pos	VALID
hsa-miR-185-5p	ATR	pos	VALID
hsa-miR-200a-3p	ATRX	pos	VALID
hsa-miR-200c-3p	ATRX	pos	VALID
hsa-miR-101-3p	ATXN1	pos	VALID
hsa-miR-130a-3p	ATXN1	pos	VALID
hsa-miR-19a-3p	ATXN1	pos	VALID
hsa-miR-19b-3p	ATXN1	pos	VALID
hsa-miR-124-3p	ATXN2L	neg	VALID
hsa-miR-124-3p	AURKA	neg	VALID
hsa-let-7a-5p	AURKB	pos	VALID
hsa-let-7e-5p	AURKB	pos	VALID
hsa-miR-124-3p	AURKB	neg	VALID
hsa-miR-24-3p	AURKB	pos	VALID
hsa-miR-30a-5p	AVEN	pos	VALID
hsa-miR-107	AXIN2	pos	VALID
hsa-miR-15b-5p	AXIN2	pos	VALID
hsa-miR-16-5p	AXIN2	pos	VALID
hsa-miR-34a-3p	AXIN2	pos	VALID
hsa-miR-34a-5p	AXIN2	pos	VALID
hsa-miR-34b-5p	AXIN2	pos	VALID
hsa-miR-34c-3p	AXIN2	pos	VALID
hsa-miR-122-5p	AXL	pos	VALID
hsa-miR-34a-5p	AXL	pos	VALID
hsa-miR-433-3p	AZIN1	pos	VALID
hsa-miR-107	BACE1	pos	VALID
hsa-miR-124-3p	BACE1	neg	VALID
hsa-miR-15a-5p	BACE1	neg	VALID
hsa-miR-19b-3p	BACE1	neg	VALID
hsa-miR-298	BACE1	pos	VALID
hsa-miR-29a-3p	BACE1	pos	VALID
hsa-miR-29b-3p	BACE1	pos	VALID
hsa-miR-29c-3p	BACE1	pos	VALID
hsa-miR-328-3p	BACE1	pos	VALID
hsa-miR-339-5p	BACE1	pos	VALID
hsa-miR-9-5p	BACE1	pos	VALID
hsa-miR-155-5p	BACH1	pos	VALID
hsa-miR-196a-5p	BACH1	pos	VALID
hsa-miR-28-5p	BAG1	pos	VALID
hsa-miR-494-3p	BAG1	pos	VALID
hsa-miR-26a-5p	BAG4	pos	VALID
hsa-miR-125a-5p	BAK1	pos	VALID
hsa-miR-125b-5p	BAK1	pos	VALID
hsa-miR-20a-5p	BAMBI	pos	VALID
hsa-miR-20b-5p	BAMBI	pos	VALID
hsa-miR-320a	BANP	pos	VALID
hsa-miR-141-3p	BAP1	pos	VALID
hsa-miR-200a-3p	BAP1	pos	VALID
hsa-miR-200b-3p	BAP1	pos	VALID
hsa-miR-200c-3p	BAP1	pos	VALID
hsa-miR-429	BAP1	pos	VALID
hsa-miR-182-5p	BARD1	pos	VALID
hsa-miR-21-5p	BASP1	pos	VALID
hsa-miR-1	BAX	neg	VALID
hsa-miR-122-5p	BAX	pos	VALID
hsa-miR-128-3p	BAX	pos	VALID
hsa-miR-214-3p	BAX	pos	VALID
hsa-miR-298	BAX	pos	VALID
hsa-miR-365a-3p	BAX	pos	VALID
hsa-miR-504-5p	BAX	neg	VALID
hsa-miR-766-3p	BAX	pos	VALID
hsa-miR-125b-5p	BBC3	pos	VALID
hsa-miR-149-5p	BBC3	pos	VALID
hsa-miR-221-3p	BBC3	neg	VALID
hsa-miR-222-3p	BBC3	pos	VALID
hsa-miR-296-5p	BBC3	pos	VALID
hsa-miR-483-3p	BBC3	pos	VALID
hsa-miR-504-5p	BBC3	neg	VALID
hsa-miR-124-3p	BCCIP	neg	VALID
hsa-miR-106a-5p	BCL10	pos	VALID
hsa-miR-30a-5p	BCL11A	pos	VALID
hsa-miR-486-3p	BCL11A	pos	VALID
hsa-miR-125b-5p	BCL2	pos	VALID
hsa-miR-126-3p	BCL2	pos	VALID
hsa-miR-135a-5p	BCL2	pos	VALID
hsa-miR-136-5p	BCL2	pos	VALID
hsa-miR-143-3p	BCL2	pos	VALID
hsa-miR-148a-3p	BCL2	pos	VALID
hsa-miR-153-3p	BCL2	pos	VALID
hsa-miR-15a-5p	BCL2	pos	VALID
hsa-miR-15b-5p	BCL2	pos	VALID
hsa-miR-16-5p	BCL2	pos	VALID
hsa-miR-17-5p	BCL2	pos	VALID
hsa-miR-181a-5p	BCL2	pos	VALID
hsa-miR-181b-5p	BCL2	pos	VALID
hsa-miR-181c-5p	BCL2	pos	VALID
hsa-miR-181d-5p	BCL2	pos	VALID
hsa-miR-182-5p	BCL2	pos	VALID
hsa-miR-184	BCL2	pos	VALID
hsa-miR-18a-5p	BCL2	pos	VALID
hsa-miR-1915-3p	BCL2	pos	VALID
hsa-miR-192-5p	BCL2	pos	VALID
hsa-miR-195-5p	BCL2	pos	VALID
hsa-miR-200b-3p	BCL2	pos	VALID
hsa-miR-200c-3p	BCL2	pos	VALID
hsa-miR-204-5p	BCL2	pos	VALID
hsa-miR-205-5p	BCL2	pos	VALID
hsa-miR-20a-5p	BCL2	pos	VALID
hsa-miR-211-5p	BCL2	pos	VALID
hsa-miR-224-5p	BCL2	pos	VALID
hsa-miR-24-2-5p	BCL2	pos	VALID
hsa-miR-29a-3p	BCL2	pos	VALID
hsa-miR-29b-3p	BCL2	pos	VALID
hsa-miR-29c-3p	BCL2	pos	VALID
hsa-miR-30b-5p	BCL2	pos	VALID
hsa-miR-33b-5p	BCL2	pos	VALID
hsa-miR-34a-5p	BCL2	pos	VALID
hsa-miR-34b-3p	BCL2	pos	VALID
hsa-miR-34b-5p	BCL2	pos	VALID
hsa-miR-34c-5p	BCL2	pos	VALID
hsa-miR-365a-3p	BCL2	pos	VALID
hsa-miR-375	BCL2	pos	VALID
hsa-miR-429	BCL2	pos	VALID
hsa-miR-448	BCL2	pos	VALID
hsa-miR-449a	BCL2	pos	VALID
hsa-miR-451a	BCL2	pos	VALID
hsa-miR-494-3p	BCL2	pos	VALID
hsa-miR-497-5p	BCL2	pos	VALID
hsa-miR-503-5p	BCL2	pos	VALID
hsa-miR-630	BCL2	pos	VALID
hsa-miR-7-5p	BCL2	pos	VALID
hsa-miR-708-5p	BCL2	pos	VALID
hsa-let-7c-5p	BCL2L1	pos	VALID
hsa-let-7g-5p	BCL2L1	pos	VALID
hsa-miR-122-5p	BCL2L1	neg	VALID
hsa-miR-133a-3p	BCL2L1	pos	VALID
hsa-miR-491-5p	BCL2L1	pos	VALID
hsa-miR-18a-5p	BCL2L10	pos	VALID
hsa-miR-106b-5p	BCL2L11	pos	VALID
hsa-miR-10b-5p	BCL2L11	pos	VALID
hsa-miR-148a-3p	BCL2L11	pos	VALID
hsa-miR-17-5p	BCL2L11	pos	VALID
hsa-miR-181a-5p	BCL2L11	pos	VALID
hsa-miR-19a-3p	BCL2L11	pos	VALID
hsa-miR-19b-3p	BCL2L11	pos	VALID
hsa-miR-214-3p	BCL2L11	pos	VALID
hsa-miR-24-3p	BCL2L11	pos	VALID
hsa-miR-25-3p	BCL2L11	pos	VALID
hsa-miR-301a-3p	BCL2L11	pos	VALID
hsa-miR-32-5p	BCL2L11	pos	VALID
hsa-miR-363-3p	BCL2L11	pos	VALID
hsa-miR-494-3p	BCL2L11	pos	VALID
hsa-miR-9-5p	BCL2L11	pos	VALID
hsa-miR-92a-3p	BCL2L11	pos	VALID
hsa-miR-24-3p	BCL2L12	pos	VALID
hsa-miR-122-5p	BCL2L2	pos	VALID
hsa-miR-125b-5p	BCL2L2	pos	VALID
hsa-miR-133b	BCL2L2	pos	VALID
hsa-miR-195-5p	BCL2L2	pos	VALID
hsa-miR-204-5p	BCL2L2	pos	VALID
hsa-miR-214-3p	BCL2L2	pos	VALID
hsa-miR-335-5p	BCL2L2	pos	VALID
hsa-miR-630	BCL2L2	pos	VALID
hsa-miR-125b-5p	BCL3	pos	VALID
hsa-miR-127-3p	BCL6	pos	VALID
hsa-miR-155-5p	BCL6	pos	VALID
hsa-miR-205-5p	BCL6	pos	VALID
hsa-miR-21-5p	BCL6	pos	VALID
hsa-miR-30b-5p	BCL6	pos	VALID
hsa-miR-339-5p	BCL6	pos	VALID
hsa-miR-9-5p	BCL6	neg	VALID
hsa-miR-29a-3p	BCL7A	neg	VALID
hsa-miR-30a-5p	BCL9	pos	VALID
hsa-miR-30b-5p	BCL9	pos	VALID
hsa-miR-30c-2-3p	BCL9	pos	VALID
hsa-miR-30c-5p	BCL9	pos	VALID
hsa-miR-30d-5p	BCL9	pos	VALID
hsa-miR-129-5p	BDKRB2	pos	VALID
hsa-miR-124-3p	BDNF	pos	VALID
hsa-miR-132-3p	BDNF	pos	VALID
hsa-miR-16-5p	BDNF	pos	VALID
hsa-miR-182-5p	BDNF	pos	VALID
hsa-miR-204-5p	BDNF	pos	VALID
hsa-miR-210-3p	BDNF	pos	VALID
hsa-miR-22-3p	BDNF	pos	VALID
hsa-miR-30a-5p	BDNF	pos	VALID
hsa-miR-199a-5p	BECN1	pos	VALID
hsa-miR-216a-5p	BECN1	pos	VALID
hsa-miR-216b-5p	BECN1	pos	VALID
hsa-miR-30a-5p	BECN1	pos	VALID
hsa-miR-30b-5p	BECN1	pos	VALID
hsa-miR-30d-5p	BECN1	pos	VALID
hsa-miR-376b-3p	BECN1	pos	VALID
hsa-miR-135b-5p	BGLAP	neg	VALID
hsa-miR-204-5p	BIRC2	pos	VALID
hsa-miR-150-5p	BIRC5	pos	VALID
hsa-miR-16-5p	BIRC5	pos	VALID
hsa-miR-195-5p	BIRC5	pos	VALID
hsa-miR-218-5p	BIRC5	pos	VALID
hsa-miR-335-5p	BIRC5	pos	VALID
hsa-miR-34a-5p	BIRC5	pos	VALID
hsa-miR-497-5p	BIRC5	pos	VALID
hsa-miR-542-3p	BIRC5	pos	VALID
hsa-miR-708-5p	BIRC5	pos	VALID
hsa-miR-218-5p	BIRC6	neg	VALID
hsa-miR-198	BIRC7	pos	VALID
hsa-miR-138-5p	BLCAP	pos	VALID
hsa-miR-125b-5p	BMF	pos	VALID
hsa-miR-197-3p	BMF	pos	VALID
hsa-miR-221-3p	BMF	pos	VALID
hsa-miR-34c-5p	BMF	pos	VALID
hsa-let-7g-5p	BMI1	pos	VALID
hsa-miR-128-3p	BMI1	pos	VALID
hsa-miR-15a-5p	BMI1	pos	VALID
hsa-miR-16-5p	BMI1	pos	VALID
hsa-miR-183-5p	BMI1	pos	VALID
hsa-miR-194-5p	BMI1	pos	VALID
hsa-miR-200b-3p	BMI1	pos	VALID
hsa-miR-200c-3p	BMI1	pos	VALID
hsa-miR-218-5p	BMI1	pos	VALID
hsa-miR-300	BMI1	pos	VALID
hsa-miR-302a-3p	BMI1	pos	VALID
hsa-miR-302b-3p	BMI1	pos	VALID
hsa-miR-30e-5p	BMI1	pos	VALID
hsa-miR-320a	BMI1	pos	VALID
hsa-miR-452-5p	BMI1	pos	VALID
hsa-miR-487b-3p	BMI1	pos	VALID
hsa-miR-494-3p	BMI1	pos	VALID
hsa-miR-495-3p	BMI1	pos	VALID
hsa-miR-544a	BMI1	pos	VALID
hsa-miR-708-5p	BMI1	pos	VALID
hsa-miR-194-5p	BMP1	pos	VALID
hsa-miR-29b-3p	BMP1	pos	VALID
hsa-miR-106a-5p	BMP2	pos	VALID
hsa-miR-17-5p	BMP2	pos	VALID
hsa-let-7i-5p	BMP4	pos	VALID
hsa-miR-22-3p	BMP6	pos	VALID
hsa-miR-22-3p	BMP7	pos	VALID
hsa-miR-342-3p	BMP7	pos	VALID
hsa-miR-34a-5p	BMP7	pos	VALID
hsa-miR-542-3p	BMP7	pos	VALID
hsa-miR-656-3p	BMPR1A	pos	VALID
hsa-miR-125b-5p	BMPR1B	pos	VALID
hsa-miR-22-3p	BMPR1B	pos	VALID
hsa-miR-100-5p	BMPR2	pos	VALID
