Type	diana	mirmap	mirtarget	mirza_U	paccmit	targetscan_C	targetscan_NC
pos	0.175	0.0974396	25	-7.5936245	0.857	-2.219	0.211
pos	0.175	0.236331	57.4273	0.44919	-0.5	0.243	-32.278
pos	0.684	0.0847674	25	0.255581	-0.5	0.02	-32.278
pos	0.555	0.1354134	25	0.128026	-0.5	-2.219	0.088
pos	0.175	0.0760208	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.904	0.378368	99.2165267902	0.329968	-0.5	-2.219	0.263
pos	0.942	0.381089	25	0.544909	0.99958	0.076	-32.278
pos	0.484	0.620297	25	-7.5936245	0.801	-2.219	0.995
pos	0.175	0.1196082	25	-7.5936245	-0.5	-2.219	0.134
pos	0.978	0.272236	79.5317	0.528501	-0.5	0.069	0.006
pos	0.555	0.0190057	25	-7.5936245	-0.5	-2.219	0.033
pos	0.609	0.1011312	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.496	0.0916306	25	-7.5936245	-0.5	-2.219	0.016
pos	0.457	0.1308384	25	0.372487	-0.5	-2.219	0.246
pos	0.175	-7.60839985	25	0.291869	-0.5	-2.219	-32.278
pos	0.628	0.0869663	25	-7.5936245	0.79	-2.219	0.087
pos	0.175	-7.60839985	25	-7.5936245	0.544	-2.219	-32.278
pos	0.49	0.0305847	25	-7.5936245	-0.5	-2.219	0.057
pos	0.641	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.584	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.446	-2.219	-32.278
pos	0.175	0.04618301	25	0.232789	-0.5	-2.219	0.01
pos	0.175	0.242737	25	0.314167	-0.5	-2.219	0.254
pos	0.175	-7.60839985	25	-7.5936245	0.723	-2.219	-32.278
pos	0.175	0.0010025	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.345929	25	0.159468	-0.5	-2.219	0.566
pos	0.175	0.253601	25	0.164552	-0.5	0.011	0.001
pos	0.52	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.7	0.172225	25	0.425787	-0.5	0.28	-32.278
pos	0.619	0.1090452	25	-7.5936245	0.603	-2.219	0.047
pos	0.88	0.387478	25	-7.5936245	-0.5	0.002	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0
pos	0.175	-7.60839985	25	-7.5936245	0.9	-2.219	-32.278
pos	0.495	0.168595	25	-7.5936245	-0.5	-2.219	0.002
pos	0.553	0.036968	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0029421	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.552	0.0893118	25	0.290845	0.927	-2.219	0.023
pos	0.787	0.0128207	25	-7.5936245	-0.5	-2.219	0.055
pos	0.175	0.0772195	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.854	0.657627	53.962391706496	1.140489	-0.5	-2.219	0.045
pos	0.631	0.05720863	25	0.399615	-0.5	0.001	-32.278
pos	0.716	-7.60839985	25	0.363253	-0.5	-2.219	0.014
pos	0.645	0.821433	25	-7.5936245	-0.5	-2.219	0.008
pos	0.556	0.1113009	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0852491	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.462	0.0269096	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.682	-2.219	-32.278
pos	0.592	0.253211	25	-7.5936245	0.857	-2.219	0.038
pos	0.506	0.0379289	25	0.220871	-0.5	-2.219	0.01
pos	0.674	0.15196	25	0.665362	-0.5	-2.219	0.122
pos	0.175	0.035024	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.511	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.687	0.1120513	25	-7.5936245	-0.5	-2.219	0.012
pos	0.479	0.0101425	25	0.176689	-0.5	-2.219	0.028
pos	0.599	0.265962	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0781864	25	-7.5936245	0.591	-2.219	-32.278
pos	0.175	0.241668	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0865703	25	-7.5936245	-0.5	-2.219	0.154
pos	0.175	-7.60839985	25	-7.5936245	0.35	-2.219	0
pos	0.175	0.1138567	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0325004	25	-7.5936245	0.966	-2.219	0
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0.184
pos	0.962	0.242392	76.2649	0.161194	-0.5	0.145	-32.278
pos	0.467	0.221015	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0859906	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.033115	25	0.18913	-0.5	-2.219	0.003
pos	0.463	0.0815922	25	-7.5936245	-0.5	-2.219	0.002
pos	0.55	0.0843053	25	0.224106	-0.5	-2.219	0.069
pos	0.175	-7.60839985	25	-7.5936245	0.582	-2.219	-32.278
pos	0.504	0.1364497	25	0.200387	-0.5	-2.219	0.313
pos	0.601	0.419664	25	0.301126	0.626	-2.219	0.021
pos	0.51	-7.60839985	25	0.158411	-0.5	-2.219	0.085
pos	0.175	0.0631999	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.563	-7.60839985	25	0.249185	-0.5	-2.219	0.01
pos	0.886	0.30676	62.5136	0.411905	-0.5	0.031	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.542	-2.219	-32.278
pos	0.464	0.0941251	25	-7.5936245	-0.5	0.141	-32.278
pos	0.546	0.0134602	25	-7.5936245	0.739	-2.219	0.014
pos	0.175	0.0657683	25	-7.5936245	-0.5	-2.219	0.02
pos	0.175	-7.60839985	25	-7.5936245	0.889	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0.001
pos	0.175	0.1292036	25	0.193809	-0.5	-2.219	0.067
pos	0.175	-7.60839985	25	-7.5936245	0.772	-2.219	-32.278
pos	0.51	0.0532991	25	-7.5936245	-0.5	0.1	-32.278
pos	0.472	-7.60839985	25	-7.5936245	0.874	-2.219	-32.278
pos	0.622	0.0329236	25	-7.5936245	0.234	-2.219	0.062
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0.04
pos	0.524	0.252949	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.486	-2.219	-32.278
pos	0.175	0.0346347	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.554	0.0912505	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.0717463	25	-7.5936245	-0.5	-2.219	0.019
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0
pos	0.175	0.03025	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.66	0.271465	25	0.305517	-0.5	-2.219	0.354
pos	0.175	-7.60839985	25	0.22463	0.788	-2.219	-32.278
pos	0.175	-7.60839985	25	0.260776	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0
pos	0.175	0.132142	25	-7.5936245	-0.5	-2.219	0.003
pos	0.175	-7.60839985	25	-7.5936245	0.538	-2.219	-32.278
pos	0.805	0.312598	25	-7.5936245	-0.5	-2.219	0.325
pos	0.729	0.038311	25	0.133672	-0.5	-2.219	0.02
pos	0.601	0.340705	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.62	0.1214372	25	0.271396	-0.5	-2.219	0.206
pos	0.815	-7.60839985	25	-7.5936245	0.779	-2.219	-32.278
pos	0.558	-7.60839985	25	0.289596	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.813	-2.219	-32.278
pos	0.522	0.264302	57.9719	0.365219	0.78	-2.219	0.254
pos	0.498	-7.60839985	25	-7.5936245	0.69	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.808	-2.219	-32.278
pos	0.904	0.275277	56.6774	-7.5936245	-0.5	-2.219	0.323
pos	0.607	0.0622719	25	-7.5936245	-0.5	-2.219	0.01
pos	0.49	0.0712113	25	-7.5936245	0.966	-2.219	-32.278
pos	0.175	0.080448	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.902	0.1034007	25	0.564995	-0.5	0.271	-32.278
pos	0.452	0.05392327	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.858	0.688566	25	-7.5936245	-0.5	-2.219	0.066
pos	0.175	0.0039242	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.894	0.286577	25	0.376532	0.487	-2.219	0.092
pos	0.175	0.0639592	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.661	0.1129861	25	-7.5936245	0.546	-2.219	-32.278
pos	0.512	0.282594	25	-7.5936245	0.551	-2.219	0.129
pos	0.175	0.0993818	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.847	-2.219	-32.278
pos	0.175	0.035741	25	0.174164	-0.5	-2.219	-32.278
pos	0.514	0.0649193	25	0.211939	-0.5	-2.219	0.057
pos	0.525	0.04167108	25	0.241711	-0.5	0.05	-32.278
pos	0.175	0.167319	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.491	0.189718	25	0.145533	-0.5	0.201	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.733	-2.219	-32.278
pos	0.175	0.04771943	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.501	0.1297366	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.689	0.218621	25	-7.5936245	0.818	-2.219	-32.278
pos	0.463	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.474	-7.60839985	25	-7.5936245	-0.5	-2.219	0
pos	0.175	-7.60839985	25	-7.5936245	0.37	-2.219	-32.278
pos	0.175	0.250702	25	-7.5936245	-0.5	0.335	-32.278
pos	0.695	0.308712	25	0.208463	-0.5	-2.219	0.043
pos	0.175	-7.60839985	25	0.127559	0.871	-2.219	-32.278
pos	0.175	0.32639	25	-7.5936245	0.551	-2.219	0.075
pos	0.175	0.0285798	25	-7.5936245	0.776	-2.219	0
pos	0.668	0.243447	25	0.173677	-0.5	-2.219	0.166
pos	0.524	-7.60839985	25	-7.5936245	0.768	-2.219	-32.278
pos	0.175	0.0039848	25	-7.5936245	-0.5	-2.219	0.027
pos	0.175	0.0966586	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0
pos	0.175	0.1004439	25	0.361247	-0.5	-2.219	-32.278
pos	0.487	0.1142807	25	0.158623	-0.5	-2.219	0.071
pos	0.175	0.0081307	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.984	0.350803	50	0.4237	-0.5	-2.219	0.327
pos	0.765	0.351205	25	0.260236	-0.5	-2.219	0.193
pos	0.553	-7.60839985	25	-7.5936245	0.937	-2.219	-32.278
pos	0.175	0.210633	57.4273	0.390692	-0.5	0.199	-32.278
pos	0.972	0.333316	78.4726	-7.5936245	-0.5	0.006	-32.278
pos	0.175	0.1008126	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.597	0.236957	25	0.195985	-0.5	-2.219	0.198
pos	0.451	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.274209	25	-7.5936245	-0.5	-2.219	0.323
pos	0.622	0.270811	87.4743	0.187617	-0.5	-2.219	0.281
pos	0.743	0.0953649	25	0.277455	-0.5	-2.219	0.02
pos	0.605	0.0728413	25	0.297249	0.894	-2.219	-32.278
pos	0.485	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	0.1279767	25	-7.5936245	0.771	-2.219	-32.278
pos	0.797	0.218268	25	0.383158	-0.5	0.154	0.053
pos	0.175	0.0712913	25	-7.5936245	-0.5	-2.219	0
pos	0.175	0.0817093	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.707	0.0854093	25	0.134603	0.748	-2.219	0.002
pos	0.501	-7.60839985	25	0.157345	-0.5	-2.219	0.003
pos	0.175	0.0128992	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.616	0.20589	25	-7.5936245	-0.5	-2.219	0.004
pos	0.559	0.0850234	25	0.2864	0.927	-2.219	0.023
pos	0.702	0.483098	25	-7.5936245	-0.5	-2.219	0.366
pos	0.175	-7.60839985	25	-7.5936245	0.857	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.971	-2.219	-32.278
pos	0.603	0.0339035	25	-7.5936245	0.82	-2.219	0.002
pos	0.175	0.1009826	25	-7.5936245	-0.5	-2.219	0.078
pos	0.474	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	-0.5	-2.219	0
pos	0.646	0.0148129	25	0.201117	-0.5	-2.219	0
pos	0.616	-7.60839985	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	0.221994	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.797	-2.219	-32.278
pos	0.981	-7.60839985	25	-7.5936245	-0.5	-2.219	0.084
pos	0.175	0.0987331	25	-7.5936245	-0.5	-2.219	0.114
pos	0.175	0.0707492	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.964	0.264826	75.4347	0.648537	-0.5	-2.219	0.155
pos	0.175	0.211261	25	-7.5936245	-0.5	-2.219	0.01
pos	0.175	0.0863519	25	-7.5936245	-0.5	-2.219	-32.278
pos	0.175	-7.60839985	25	-7.5936245	0.977	-2.219	-32.278
